-0.000000, 0.000000, -0.000001, 0.000003, -0.000010, 
-0.000000, 0.000000, -0.000002, 0.000006, -0.000020, 
-0.000000, 0.000001, -0.000003, 0.000010, -0.000030, 
-0.000000, 0.000001, -0.000003, 0.000013, -0.000040, 
-0.000000, 0.000001, -0.000004, 0.000016, -0.000051, 
-0.000000, 0.000001, -0.000005, 0.000020, -0.000061, 
-0.000000, 0.000001, -0.000006, 0.000023, -0.000071, 
-0.000000, 0.000002, -0.000007, 0.000026, -0.000082, 
-0.000000, 0.000002, -0.000008, 0.000030, -0.000092, 
-0.000000, 0.000002, -0.000009, 0.000033, -0.000103, 
-0.000000, 0.000002, -0.000010, 0.000037, -0.000114, 
-0.000000, 0.000002, -0.000011, 0.000040, -0.000125, 
-0.000000, 0.000003, -0.000012, 0.000044, -0.000136, 
-0.000000, 0.000003, -0.000013, 0.000048, -0.000148, 
-0.000000, 0.000003, -0.000014, 0.000051, -0.000159, 
-0.000000, 0.000003, -0.000015, 0.000055, -0.000171, 
-0.000001, 0.000003, -0.000016, 0.000059, -0.000183, 
-0.000001, 0.000004, -0.000017, 0.000063, -0.000196, 
-0.000001, 0.000004, -0.000018, 0.000068, -0.000208, 
-0.000001, 0.000004, -0.000020, 0.000072, -0.000221, 
-0.000001, 0.000005, -0.000021, 0.000076, -0.000235, 
-0.000001, 0.000005, -0.000022, 0.000081, -0.000248, 
-0.000001, 0.000005, -0.000023, 0.000085, -0.000262, 
-0.000001, 0.000005, -0.000025, 0.000090, -0.000277, 
-0.000001, 0.000006, -0.000026, 0.000095, -0.000291, 
-0.000001, 0.000006, -0.000028, 0.000100, -0.000306, 
-0.000001, 0.000006, -0.000029, 0.000106, -0.000322, 
-0.000001, 0.000007, -0.000031, 0.000111, -0.000338, 
-0.000001, 0.000007, -0.000032, 0.000117, -0.000354, 
-0.000001, 0.000007, -0.000034, 0.000122, -0.000371, 
-0.000001, 0.000008, -0.000036, 0.000128, -0.000388, 
-0.000001, 0.000008, -0.000037, 0.000134, -0.000406, 
-0.000001, 0.000009, -0.000039, 0.000141, -0.000425, 
-0.000001, 0.000009, -0.000041, 0.000147, -0.000444, 
-0.000001, 0.000010, -0.000043, 0.000154, -0.000463, 
-0.000002, 0.000010, -0.000045, 0.000161, -0.000483, 
-0.000002, 0.000010, -0.000047, 0.000168, -0.000504, 
-0.000002, 0.000011, -0.000049, 0.000176, -0.000525, 
-0.000002, 0.000012, -0.000052, 0.000183, -0.000547, 
-0.000002, 0.000012, -0.000054, 0.000191, -0.000570, 
